method,analysis,algorithm,k,n_proteins
AlcoR,global,pam,2,1924
AlcoR,global,hierarchical,2,1924
AlcoR,global,pam,3,1924
AlcoR,global,hierarchical,3,1924
AlcoR,global,pam,4,1924
AlcoR,global,hierarchical,4,1924
AlcoR,global,pam,5,1924
AlcoR,global,hierarchical,5,1924
AlcoR,global,pam,6,1924
AlcoR,global,hierarchical,6,1924
AlcoR,global,pam,7,1924
AlcoR,global,hierarchical,7,1924
AlcoR,global,pam,8,1924
AlcoR,global,hierarchical,8,1924
AlcoR,global,pam,9,1924
AlcoR,global,hierarchical,9,1924
CAST,global,pam,2,1924
CAST,global,hierarchical,2,1924
CAST,global,pam,3,1924
CAST,global,hierarchical,3,1924
CAST,global,pam,4,1924
CAST,global,hierarchical,4,1924
CAST,global,pam,5,1924
CAST,global,hierarchical,5,1924
CAST,global,pam,6,1924
CAST,global,hierarchical,6,1924
CAST,global,pam,7,1924
CAST,global,hierarchical,7,1924
CAST,global,pam,8,1924
CAST,global,hierarchical,8,1924
CAST,global,pam,9,1924
CAST,global,hierarchical,9,1924
FLPS,global,pam,2,1924
FLPS,global,hierarchical,2,1924
FLPS,global,pam,3,1924
FLPS,global,hierarchical,3,1924
FLPS,global,pam,4,1924
FLPS,global,hierarchical,4,1924
FLPS,global,pam,5,1924
FLPS,global,hierarchical,5,1924
FLPS,global,pam,6,1924
FLPS,global,hierarchical,6,1924
FLPS,global,pam,7,1924
FLPS,global,hierarchical,7,1924
FLPS,global,pam,8,1924
FLPS,global,hierarchical,8,1924
FLPS,global,pam,9,1924
FLPS,global,hierarchical,9,1924
LCRFinder,global,pam,2,1924
LCRFinder,global,hierarchical,2,1924
LCRFinder,global,pam,3,1924
LCRFinder,global,hierarchical,3,1924
LCRFinder,global,pam,4,1924
LCRFinder,global,hierarchical,4,1924
LCRFinder,global,pam,5,1924
LCRFinder,global,hierarchical,5,1924
LCRFinder,global,pam,6,1924
LCRFinder,global,hierarchical,6,1924
LCRFinder,global,pam,7,1924
LCRFinder,global,hierarchical,7,1924
LCRFinder,global,pam,8,1924
LCRFinder,global,hierarchical,8,1924
LCRFinder,global,pam,9,1924
LCRFinder,global,hierarchical,9,1924
SEG,global,pam,2,1924
SEG,global,hierarchical,2,1924
SEG,global,pam,3,1924
SEG,global,hierarchical,3,1924
SEG,global,pam,4,1924
SEG,global,hierarchical,4,1924
SEG,global,pam,5,1924
SEG,global,hierarchical,5,1924
SEG,global,pam,6,1924
SEG,global,hierarchical,6,1924
SEG,global,pam,7,1924
SEG,global,hierarchical,7,1924
SEG,global,pam,8,1924
SEG,global,hierarchical,8,1924
SEG,global,pam,9,1924
SEG,global,hierarchical,9,1924
SEG_intermediate,global,pam,2,1924
SEG_intermediate,global,hierarchical,2,1924
SEG_intermediate,global,pam,3,1924
SEG_intermediate,global,hierarchical,3,1924
SEG_intermediate,global,pam,4,1924
SEG_intermediate,global,hierarchical,4,1924
SEG_intermediate,global,pam,5,1924
SEG_intermediate,global,hierarchical,5,1924
SEG_intermediate,global,pam,6,1924
SEG_intermediate,global,hierarchical,6,1924
SEG_intermediate,global,pam,7,1924
SEG_intermediate,global,hierarchical,7,1924
SEG_intermediate,global,pam,8,1924
SEG_intermediate,global,hierarchical,8,1924
SEG_intermediate,global,pam,9,1924
SEG_intermediate,global,hierarchical,9,1924
